datetime,portfolio_value,cash,positions,return
2022-07-07 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-08 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-09 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-07-09 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-11 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-11 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-11 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-12 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-13 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-14 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-16 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-07-16 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-18 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-18 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-18 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-19 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-20 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-21 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-22 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-23 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-07-23 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-25 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-25 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-25 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-26 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-27 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-28 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-29 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-30 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-07-30 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-01 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-01 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-01 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-02 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-03 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-04 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-05 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-06 09:29:00-04:00,100000.0,100000.0,[],0.0
